layer, level, fraction, repeat, accuracy
features.0, synapse, 0.0, 0, 0.9038199782371521
features.0, synapse, 0.0, 1, 0.9038199782371521
features.0, synapse, 0.0, 2, 0.9038199782371521
features.0, synapse, 0.1, 0, 0.8674799799919128
features.0, synapse, 0.1, 1, 0.8470999598503113
features.0, synapse, 0.1, 2, 0.8193199634552002
features.0, synapse, 0.2, 0, 0.5160999894142151
features.0, synapse, 0.2, 1, 0.6247000098228455
features.0, synapse, 0.2, 2, 0.6491199731826782
features.0, synapse, 0.3, 0, 0.5166400074958801
features.0, synapse, 0.3, 1, 0.5583199858665466
features.0, synapse, 0.3, 2, 0.5194599628448486
features.0, synapse, 0.4, 0, 0.4772599935531616
features.0, synapse, 0.4, 1, 0.5136399865150452
features.0, synapse, 0.4, 2, 0.5023199915885925
features.0, synapse, 0.5, 0, 0.4059999883174896
features.0, synapse, 0.5, 1, 0.3087399899959564
features.0, synapse, 0.5, 2, 0.623259961605072
features.0, synapse, 0.6, 0, 0.2804200053215027
features.0, synapse, 0.6, 1, 0.2821999788284302
features.0, synapse, 0.6, 2, 0.24447999894618988
features.0, synapse, 0.7, 0, 0.28271999955177307
features.0, synapse, 0.7, 1, 0.17441999912261963
features.0, synapse, 0.7, 2, 0.1477999985218048
features.0, synapse, 0.8, 0, 0.07998000085353851
features.0, synapse, 0.8, 1, 0.17019999027252197
features.0, synapse, 0.8, 2, 0.09201999753713608
features.0, synapse, 0.9, 0, 0.05561999976634979
features.0, synapse, 0.9, 1, 0.032099999487400055
features.0, synapse, 0.9, 2, 0.05583999678492546
features.0, synapse, 1.0, 0, 0.004999999888241291
features.0, synapse, 1.0, 1, 0.004999999888241291
features.0, synapse, 1.0, 2, 0.004999999888241291
features.0, node, 0.0, 0, 0.9038199782371521
features.0, node, 0.0, 1, 0.9038199782371521
features.0, node, 0.0, 2, 0.9038199782371521
features.0, node, 0.1, 0, 0.8963199853897095
features.0, node, 0.1, 1, 0.8803199529647827
features.0, node, 0.1, 2, 0.9030799865722656
features.0, node, 0.2, 0, 0.8441799879074097
features.0, node, 0.2, 1, 0.8258799910545349
features.0, node, 0.2, 2, 0.8660399913787842
features.0, node, 0.3, 0, 0.858959972858429
features.0, node, 0.3, 1, 0.8484399914741516
features.0, node, 0.3, 2, 0.8348399996757507
features.0, node, 0.4, 0, 0.6377599835395813
features.0, node, 0.4, 1, 0.8412399888038635
features.0, node, 0.4, 2, 0.8118799924850464
features.0, node, 0.5, 0, 0.76173996925354
features.0, node, 0.5, 1, 0.7265999913215637
features.0, node, 0.5, 2, 0.6380800008773804
features.0, node, 0.6, 0, 0.5110799670219421
features.0, node, 0.6, 1, 0.8250599503517151
features.0, node, 0.6, 2, 0.5861999988555908
features.0, node, 0.7, 0, 0.29569998383522034
features.0, node, 0.7, 1, 0.6351199746131897
features.0, node, 0.7, 2, 0.42385998368263245
features.0, node, 0.8, 0, 0.169979989528656
features.0, node, 0.8, 1, 0.19683998823165894
features.0, node, 0.8, 2, 0.10625999420881271
features.0, node, 0.9, 0, 0.02969999983906746
features.0, node, 0.9, 1, 0.06802000105381012
features.0, node, 0.9, 2, 0.010619999840855598
features.0, node, 1.0, 0, 0.004999999888241291
features.0, node, 1.0, 1, 0.004999999888241291
features.0, node, 1.0, 2, 0.004999999888241291
features.2, synapse, 0.0, 0, 0.9038199782371521
features.2, synapse, 0.0, 1, 0.9038199782371521
features.2, synapse, 0.0, 2, 0.9038199782371521
features.2, synapse, 0.1, 0, 0.8997799754142761
features.2, synapse, 0.1, 1, 0.8991199731826782
features.2, synapse, 0.1, 2, 0.8988800048828125
features.2, synapse, 0.2, 0, 0.8954799771308899
features.2, synapse, 0.2, 1, 0.8975799679756165
features.2, synapse, 0.2, 2, 0.8852999806404114
features.2, synapse, 0.3, 0, 0.8819400072097778
